Serial number;Course name;Author;Date;Version;Course_name;Cluster;Keywords_1.1 Domain;Keywords_1.2 Potential AI Use Cases;Keywords_1.3 Data in the Domain;Keywords_1.4 Implications of Using AI;Keywords_1.5 Additional Learning Resources;Keywords_2.1 Learners and Their Interaction with AI;Keywords_2.2 Instructors;Keywords_2.3 Internal Support;Keywords_3.1 Learning Outcomes;Keywords_3.2 Assessment;Keywords_3.3 Learning Activities;Yes;Yes
47;AI in Computer_Systems_in_Engineering;ABC;28-02-2025;1.0.0;Computer Systems in Engineering    ;"Engineering & Technology; Computer Science & Data";"AI-integrated computer systems; engineering applications; intelligent automation; predictive maintenance; real-time decision-making; system efficiency";"Embedded AI; real-time processing; IoT automation; cyber-physical systems; predictive maintenance; autonomous navigation; object recognition; task execution";"Sensor data; real-time monitoring logs; IoT device metrics; predictive maintenance; anomaly detection; system optimization; troubleshooting; resource management; system scalability";"AI ethics; algorithmic fairness; transparency; regulatory compliance; industry standards; AI-driven automation; workforce retraining; industrial efficiency; safety enhancement; biased decision-making; data representation.";"AI-embedded systems; IoT; academic journals; IEEE; IC-ES; DAC; Coursera; EdX; Udemy; online courses";"Hardware-software integration; AI-driven solutions; real-time systems; IoT automation; AI specialization; engineering projects; programming fundamentals";"Embedded systems; AI expertise; computer engineering; machine learning; interdisciplinary teaching; Python; C++; TensorFlow; PyTorch; accessible AI explanations";"Funding; AI expertise; embedded systems; semester duration; industrial datasets; public repositories; AI tools; IoT development; interdisciplinary collaboration; computer science.";"AI fundamentals; machine learning; computer systems engineering; AI applications; real-time systems; IoT automation; AI algorithms; embedded systems; sensor data analysis; IoT device metrics; ethical implications; legal implications; social implications";"AI algorithm implementation; embedded systems; AI engineering applications; real-world AI solutions; AI principle evaluation; active class engagement";"AI applications; engineering solutions; predictive maintenance; anomaly detection; sensor data; embedded systems; TensorFlow; hands-on labs; case studies; brainstorming sessions; collaborative projects; ethical considerations";Yes;Yes
48;AI in Data_and_Knowledge_Engineering;ABC;28-02-2025;1.0.0;Data and Knowledge Engineering    ;"Computer Science & Data; Engineering & Technology";"Data-Knowledge Engineering; AI-driven decision support; automated knowledge acquisition; data quality improvement; intelligent systems design; knowledge representation; reasoning capabilities; AI-enhanced data processing";"Knowledge graphs; decision support; semantic interoperability; automated integration; intelligent retrieval; knowledge discovery.";"Structured data; unstructured data; ontologies; supervised learning; NLP; computer vision; knowledge graph embedding; relational databases; data warehouses; knowledge inference; targeted AI techniques";"AI ethics; algorithmic bias; data privacy; transparency; data protection; intellectual property; responsible AI; job displacement; unfair outcomes; data breaches";"Knowledge representation; semantic web; data mining; knowledge graph applications; AI-driven decision support; knowledge engineering; AI for data science.";"AI-driven data management; knowledge management systems; AI techniques; real-world data; knowledge engineering; research innovation; data structures; algorithms; programming";"Data science; knowledge engineering; AI research; data management; knowledge representation; semantic web; machine learning; Python; Java; communication skills; teaching skills";"Semester-long; software tools; Python; TensorFlow; PyTorch; Prot̩g̩; datasets; knowledge engineering; high-performance computing; AI model training; interdisciplinary collaboration; institutional support";"Data engineering; knowledge engineering; AI techniques; knowledge representation; reasoning; machine learning algorithms; decision support systems; semantic web; data interoperability; ethical implications; legal implications; social implications; AI-driven knowledge management.";"Knowledge representation; machine learning models; semantic web applications; AI-driven knowledge management; system performance evaluation; problem-solving skills.";"AI applications; real-world challenges; data management; knowledge discovery; AI tools; knowledge-based systems; AI algorithms; ethical implications; social implications; data engineering";Yes;Yes
49;AI in Digital Engineering;ABC;28-02-2025;1.0.0;Digital Engineering    ;"Engineering & Technology; Computer Science & Data";"Digital engineering; digital twins; predictive maintenance; AI-driven design; lifecycle optimization";"AI-assisted design; AI-driven simulations; digital twin; predictive maintenance; generative design; automated code generation; performance optimization.";"CAD models; simulation data; IoT sensor data; material data; manufacturing process data; AI-driven design optimization; AI-powered digital twins; predictive maintenance; material selection; unsupervised anomaly detection; reinforcement learning; generative design";"AI ethics; algorithmic bias; data privacy; engineering job displacement; AI liability; intellectual property; data protection compliance; engineer reskilling; AI-driven innovation; product performance; development efficiency; safety enhancements; unintended consequences";"Digital twin consortium; academic papers; AI implementation; engineering processes; industry analyst reports; AI engineering design; digital twin technology; machine learning; mechanical design journal; advanced engineering informatics";"AI-driven digital design; digital product lifecycle management; simulation accuracy; digital twin; AI specialists; data scientists; ethical implications.";"AI-powered design; digital engineering; machine learning frameworks; interdisciplinary teaching; engineering design principles; AI programming; data analytics.";"Semester duration; software licenses; high-performance computing; domain-specific datasets; interdisciplinary collaboration; data scarcity; AI tool integration; instructor training; student support.";"AI fundamentals; machine learning applications; digital engineering; product design enhancement; simulation; digital twin development; engineering data analysis; AI tools; ethical implications; legal considerations; societal impact; AI-powered solutions; real-world challenges; technical communication; non-technical audiences";"AI algorithms; design optimization; machine learning; engineering datasets; ethical implications; societal implications; AI-powered digital twin; system functionality; project presentation; knowledge assessment; active engagement.";"AI-driven digital engineering; real-world case studies; brainstorming; AI applications; live demonstrations; industry experts; hands-on labs; AI algorithms; design optimization; simulation; digital twin; AI-powered solutions; integration workflows; AI techniques; research projects; lectures; labs; discussions; group work";Yes;Yes
50;AI in E-Mobility;ABC;28-02-2025;1.0.0;E-Mobility    ;"Engineering & Technology; Applied Sciences & Vocational Fields";"E-Mobility; electric vehicles; autonomous driving; battery optimization; energy efficiency; user experience; transportation systems; AI integration.";"Self-driving EVs; AI-powered BMS; dynamic route optimization; predictive maintenance; smart charging; personalized driver assistance";"Vehicle performance; traffic patterns; battery efficiency; sensor integration; charging infrastructure; energy optimization; autonomous navigation; predictive maintenance; AI-driven perception; regression models; classification algorithms; reinforcement learning.";"Autonomous driving ethics; algorithmic bias; data privacy; AI misuse; liability; regulatory compliance; job displacement; accessibility; urban planning; emission reduction; AI error accidents; privacy violations.";"AI-EV integration; autonomous driving; intelligent transportation systems; AI-driven mobility; electric vehicle technology.";"E-Mobility; AI-powered solutions; ethical implications; sustainable transportation; electric transportation; real-world problem solving; AI techniques; AI deployment.";"AI-powered mobility; automotive engineering; electric vehicle technology; transportation systems; AI algorithms; engineering education; E-Mobility applications";"AI development; software tools; electric vehicle datasets; computing resources; industry collaboration; budget constraints; domain-specific data scarcity; time limitations";"AI in E-Mobility; autonomous driving; battery management; route optimization; data analysis; AI-powered solutions; ethical implications.";"AI algorithms; E-Mobility applications; autonomous navigation; battery management; AI-powered solutions; project implementation; concept assessment; midterm examination; final examination; project presentation.";"E-Mobility; AI innovation; problem-centered learning; hands-on labs; ethical implications; collaborative projects";Yes;Yes
51;AI in Economic_Policy_Analysis;ABC;28-02-2025;1.0.0;Economic Policy Analysis    ;"Business & Economics; Social Sciences & Humanities";"Economic policy; AI-driven forecasting; economic simulation; impact assessment; data-driven decisions";"Economic indicators; policy simulation; strategic planning; financial analysis; market trend prediction; policy monitoring; resource optimization";"Economic forecasting; policy evaluation; financial risk assessment; time series analysis; causal inference; market behavior analysis; macroeconomic indicators; government policy reports; financial datasets; socioeconomic data";"AI ethics; algorithmic bias; data privacy; policy transparency; data protection laws; AI fairness; liability; job displacement; income inequality; retraining programs; economic forecasting; demographic disparity";"AI-economics research; econometric journals; AI-driven policy; World Bank; IMF; machine learning course; data science-economics; AI economics book";"Economics; public policy; data-driven policy; forecasting; policy impact assessment; economic simulation; AI tools; statistical software; AI techniques.";"Economic policy; AI-driven forecasting; economic theory; machine learning; AI applications; policy analysis.";"Software licenses; high-performance computing; domain-specific datasets; interdisciplinary support; hands-on lab time; AI integration challenges; economic models";"AI in economic policy; machine learning forecasts; policy impact assessment; AI-driven simulations; ethical-legal implications.";"AI in economic policy; ethical implications; policy simulation; AI model development; concept assessment; economic forecasting; GDP growth; comprehensive assessment.";"AI-driven economic policy; financial crisis prediction; data-driven decision-making; economic forecasting; policy simulation; predictive modeling; AI integration in economics; statistical analysis; AI application proposals";Yes;Yes
52;AI in Educational_Science;ABC;28-02-2025;1.0.0;Educational Science    ;"Social Sciences & Humanities; Applied Sciences & Vocational Fields";"Educational science; personalized learning; instructional methods; learning processes; educational technologies; AI integration; data-driven insights; real-time feedback; automated assessment";"Personalized education; AI tutoring systems; automated assessment; learning analytics; curriculum enhancement";"Student performance; adaptive learning; educational content; student demographics; personalized learning; predictive analytics; content recommendation; targeted intervention; learning behaviors; curriculum design.";"AI ethics in education; algorithmic bias; data privacy; transparency-explainability; GDPR/FERPA compliance; liability-AI errors; intellectual property; educator role evolution; equitable access; personalized tutoring; stereotype perpetuation";"Educational Data Mining; Learning Analytics; AI in Education; Personalized Learning; Online Courses; Learning Environment; Educational Technology Research; AI for Healthcare";"AI-integrated education; personalized learning; automated assessment; educational insights; AI-powered solutions; EdTech development; educator empowerment; AI tool leveraging.";"Educational technology; personalized learning; automated assessment; learning analytics; AI applications; educational theory; machine learning; natural language processing; data mining; AI-education bridge; communication skills";"Software licenses; cloud computing; domain-specific data; AI tools; TensorFlow; Keras; Scikit-learn; interdisciplinary collaboration; student performance records; adaptive learning systems; ethical considerations; student data privacy.";"AI in education; personalized learning; automated assessment; learning analytics; student performance; educational interventions; ethical implications.";"AI-powered education; case study analysis; research critique; AI tool development; project presentation; knowledge assessment; comprehensive examination; active discussion.";"AI-driven education; real-world challenges; AI interventions; technology integration; personalized learning; action plans; AI tools; educational solutions";Yes;Yes
53;AI in Electrical_and_Information Technology;ABC;28-02-2025;1.0.0;Electrical and Information Technology    ;"Engineering & Technology; Computer Science & Data";"Electrical systems; information networks; intelligent automation; AI-driven optimization; performance; reliability; sustainability; power grids; telecommunications; electronic design";"AI-driven automation; circuit optimization; smart grid forecasting; predictive maintenance; anomaly detection; power flow optimization; signal processing; interference management; resource allocation.";"Time-series analysis; predictive maintenance; network security; anomaly detection; sensor data streams; equipment performance; IoT data; signal processing; electrical systems; AI-driven optimization";"Data privacy; algorithmic bias; AI governance; job displacement; automation ethics; data protection laws; AI safety; sustainability impacts.";"AI in electrical engineering; smart grids; IEEE transactions; telecommunications; online courses; machine learning; engineering education";"AI-electrical systems; intelligent system design; electrical engineering solutions; research and development; programming skills; mathematical skills.";"Electrical Engineering; AI applications; Machine Learning; Signal Processing; Control Systems; AI solutions; Accessible Explanation; Implementation Design";"Computing resources; AI development software; datasets; IT support; industry collaboration";"AI fundamentals; machine learning; electrical engineering applications; circuit design; smart grid management; telecommunications; AI-driven solutions; electrical systems data analysis; ethical-legal-social implications.";"AI algorithms; signal processing; control systems; smart grids; telecommunications; AI-driven solutions; predictive maintenance; machine learning; electrical equipment.";"AI-driven solutions; electrical engineering; hands-on projects; data analysis; ethical implications; programming assignments; critical thinking; AI tools; group projects";Yes;Yes
54;AI in EnergyProcessEngineering;ABC;28-02-2025;1.0.0;Energy Process Engineering     ;Engineering & Technology;"Energy process engineering; AI-driven optimization; energy distribution; predictive maintenance; renewable energy integration; smart grids; sustainable energy systems";"AI-driven energy; energy efficiency optimization; smart grid management; predictive maintenance; renewable energy integration; energy storage optimization";"Power consumption; grid performance; energy efficiency; weather; equipment sensors; predictive modeling; energy demand forecasting; grid stability; AI-driven conservation; renewable generation; predictive maintenance; time-series analysis; anomaly detection; regression models.";"Algorithmic bias; energy regulation compliance; job displacement; equitable access; public acceptance; AI-driven energy solutions; energy efficiency; carbon emission reduction; grid reliability";"AI-energy nexus; smart grid; renewable energy; sustainable energy; online education; energy systems; power distribution; AI applications";"Energy systems engineering; AI-driven optimization; smart grids; renewable energy integration; AI specialists collaboration; performance evaluation; AI application impact";"Energy engineering; AI-powered energy management; machine learning; optimization algorithms; smart grid technologies; AI applications in energy; energy systems; AI models; communication skills.";"Energy informatics; AI model training; computational resources; software tools; datasets; budget constraints; interdisciplinary collaboration";"AI in energy; machine learning; energy optimization; renewable energy; predictive models; smart grid management; energy efficiency; ethical implications.";"Energy consumption modeling; predictive maintenance; smart grid management; energy efficiency optimization; renewable energy integration; AI-driven solutions; real-world data; AI concepts; energy systems; ethical considerations; algorithm implementation; performance evaluation.";"AI-driven energy; real-world case studies; energy data analysis; predictive modeling; smart grid management; machine learning implementation; Python; AI libraries; AI-driven solutions; energy engineering practices; industry expert lectures";Yes;Yes
55;AI in Engineering_Informatics;ABC;28-02-2025;1.0.0;Engineering Informatics    ;"Engineering & Technology; Computer Science & Data";"Engineering informatics; interdisciplinary solutions; AI-driven automation; data analysis; intelligent decision-making; design optimization; simulation; innovation.";"AI-software engineering; code generation; intelligent debugging; AI-driven simulations; predictive maintenance; design optimization; intelligent automation; autonomous systems; predictive analytics; infrastructure management.";"System performance; software testing; engineering projects; sensor data; simulation data; predictive maintenance; anomaly detection; automated debugging; quality assurance; project optimization; risk management; real-time monitoring; AI model training; design optimization";"Algorithmic bias; data privacy; transparency; data protection compliance; AI liability; workforce displacement; upskilling; reskilling; efficiency; accuracy; safety risks; AI reliability; engineering applications";"AI textbooks; machine learning engineering; IEEE Xplore; ASCE Library; Coursera; edX; AI online courses";"AI-driven solutions; engineering data analysis; AI techniques; intelligent engineering tools; software development; collaborative AI systems";"Engineering Informatics; AI Algorithms; Machine Learning; Data Analysis; Software Development; Interdisciplinary Teaching";"MATLAB; Python; TensorFlow; PyTorch; Scikit-learn; simulation software; domain-specific datasets; high-performance computing; interdisciplinary teaching.";"AI fundamentals; algorithm application; software development; data analysis; ethical implications; AI-based simulations";"AI algorithms; data analysis; predictive modeling; case study analysis; AI-driven software; engineering solutions; AI-based simulation; system design; concept assessment; algorithm comprehension; course material; active discussion; in-class engagement";"AI-driven solutions; engineering applications; predictive maintenance; AI-driven design; AI tools; MATLAB; Python; AI algorithms; software development; AI integration; engineering decision-making; internship proposals";Yes;Yes
56;AI in Engineering_Science;ABC;28-02-2025;1.0.0;Engineering Science    ;"Engineering & Technology; Natural Sciences";"Engineering science; multidisciplinary design; AI-enhanced simulation; optimized design; accelerated material discovery; efficient simulation; data-driven insights; novel materials; structural development.";"Material Informatics; Structural Integrity; AI-Enhanced Simulation; Predictive Maintenance; Design Space Exploration; Autonomous Robotics";"Structural integrity; experimental material properties; computational models; sensor data; failure prediction; design optimization; material discovery; simulation accuracy; FEA; CFD; AI training.";"AI ethics; algorithmic bias; regulatory compliance; workforce displacement; skills retraining; structural safety; materials discovery; skills degradation; infrastructure misuse";"AI-engineering; material optimization; AI-driven design; machine learning; engineering applications; scholarly articles; case studies; online courses.";"Multidisciplinary engineering students; AI application in engineering; AI-driven research; collaborative AI projects; AI-enhanced design; AI-assisted analysis.";"AI-powered simulations; data analysis; engineering problem-solving; interdisciplinary teaching; AI algorithms; theoretical-practical bridge; engineering principles; mentoring; AI applications.";"MATLAB; Python; TensorFlow; PyTorch; FEA/CFD; datasets; engineering applications; material databases; structural integrity; high-performance computing; AI simulations; interdisciplinary collaborations; institutional support";"AI fundamentals; machine learning; engineering applications; algorithm implementation; problem-solving; data interpretation; AI simulations; ethical assessment; legal implications; social impact.";"AI-driven material prediction; structural integrity simulations; AI design optimization; predictive maintenance system; AI material discovery; AI concepts assessment; learning outcome evaluation; AI impact presentation";"AI-driven solutions; engineering challenges; material discovery; structural analysis; AI tools; MATLAB; Python; algorithm implementation; industry experts; research projects";Yes;Yes
57;AI in European_Studies;ABC;28-02-2025;1.0.0;European Studies    ;Social Sciences & Humanities;"European studies; interdisciplinary analysis; AI-enhanced analytics; multilingual translation; political trend modeling; policy analysis; public opinion understanding; historical data interpretation; informed decision-making; efficient governance";"Policy NLP; cross-lingual understanding; sentiment gauging; predictive forecasting; legal framework comparison";"Political speeches; economic indicators; historical records; legal documents; news articles; social media; policy analysis; predictive modeling; legal precedent; public opinion; sentiment analysis; economic trends; automated summarization";"AI ethics; algorithmic bias; data privacy; transparency; GDPR compliance; AI liability; intellectual property; job displacement; disinformation; political manipulation; policy analysis; propaganda.";"AI Political Science; Nadler; Political Analysis; Google AI; Microsoft Azure; IBM Watson; AI Social Good; AI Future of Work; online learning";"Political data analysis; EU policy assessment; AI ethics in governance; political science; European studies; public opinion; AI tools; policy impact evaluation; European politics.";"European politics; AI-driven policy; quantitative methods; data analysis; machine learning; natural language processing; network analysis; European political systems; policy applications";"Software licenses; data acquisition; guest speakers; cloud-based AI platforms; domain-specific datasets; interdisciplinary support; AI tools; political science theories; course implementation.";"AI applications; political science; European studies; AI tools; political data analysis; policy impact assessment; AI methods; European politics; governance; ethical implications; legal implications; social implications; AI-driven insights; technical communication; non-technical communication";"Political speech analysis; election outcome prediction; AI-driven policy analysis; European legal systems; comparative analysis; AI concepts assessment; group project presentation; online forum engagement";"AI in European politics; real-world case studies; policy decision-making; AI-driven research; ethical implications; AI governance";Yes;Yes
58;AI in Financial_Economics;ABC;28-02-2025;1.0.0;Financial Economics  ;Business & Economics;"Financial economics; financial markets; predictive modeling; algorithmic trading; risk management; investment decisions; market efficiency; AI-driven analytics; economic theory.";"AI-driven finance; algorithmic trading; portfolio optimization; risk management; fraud detection; credit scoring.";"Financial markets; macroeconomic indicators; alternative data; predictive modeling; real-time information; sentiment analysis; time series analysis; market trends.";"Algorithmic bias; financial regulations; job displacement; market volatility; personalized advice; flash crashes; biased lending; market manipulation";"Financial machine learning; risk management; AI in finance; algorithmic trading; AI-driven investment; financial modeling; AI forecasting";"Financial forecasting; investment analysis; risk management; AI-driven models; financial analyst; portfolio manager; risk consultant; AI tools; investment strategies; economic principles";"Financial economics; AI-based market analysis; machine learning; statistical modeling; financial markets; investment strategies; economic indicators; Python programming; R statistical software; theoretical-practical integration; real-world case studies";"Financial databases; statistical software; cloud computing; interdisciplinary collaboration; research support";"AI in finance; machine learning; financial forecasting; investment analysis; risk management; AI-driven models; performance evaluation; ethical implications; AI-powered strategies; financial data";"AI-driven investment; financial data analysis; portfolio management; AI model backtesting; algorithmic trading; AI in financial economics";"Algorithmic trading failures; AI-driven fraud detection; financial markets; statistical concepts; AI models (Python; R); AI applications in finance; predictive models; stock prices; economic indicators; portfolio optimization; machine learning; AI in finance future; ethical considerations";Yes;Yes
59;AI in Human_Medicine;ABC;28-02-2025;1.0.0;Human Medicine ;Medical & Health Sciences;"AI-driven healthcare; personalized medicine; accelerated drug discovery; enhanced diagnostics; novel therapies.";"AI-assisted diagnostics; medical image analysis; personalized medicine; genomics data; drug discovery; predictive analytics; robotic surgery; virtual assistants; treatment plans; risk prediction.";"EHRs; medical imaging; genomics; sensor data; outcome prediction; anomaly detection; personalized treatment; supervised learning; unsupervised learning; NLP.";"AI ethics in healthcare; patient privacy; data security; algorithmic bias; HIPAA compliance; AI liability; healthcare professional roles; job displacement; public education; diagnostic accuracy; personalized treatment; drug discovery; healthcare disparities; data breaches; clinical skill decline";"AI-driven medicine; biomedical engineering; healthcare delivery models; digital health; AI education; medical innovation";"Medical AI education; healthcare professionals; AI literacy; technology evaluation; AI-developer collaboration; clinical practice enhancement; patient outcome improvement; AI capabilities; AI limitations; medical decision-support.";"AI-driven diagnostics; treatment planning; medical informatics; data science; machine learning; clinical practice; medical research; interdisciplinary teaching; healthcare professionals; AI explainability; technology-clinical translation";"Software licenses; computing resources; domain-specific data; AI tools; interdisciplinary collaborations; hands-on AI training; patient data; faculty development.";"AI fundamentals; medical applications; diagnostics; treatment planning; drug discovery; medical data analysis; AI ethics; legal implications; social implications; AI performance evaluation; AI solution design; healthcare collaboration.";"AI assessment; medical AI; AI solutions; real-world problem-solving; fairness; healthcare applications; case study analysis; AI implementation; research presentations; project development; AI understanding";"AI-driven healthcare; medical AI applications; problem-based AI learning; personalized medicine; AI tool demonstrations; hands-on AI labs; AI clinical integration; collaborative AI projects; AI medical technologies; AI impact discussions";Yes;Yes
60;AI in Immunology;ABC;28-02-2025;1.0.0;Immunology ;"Medical & Health Sciences; Natural Sciences";"Immunology; immune system; disease diagnosis; treatment strategies; immunological data; pattern identification; immune responses; automation.";"AI-driven vaccinology; immunogenomics; diagnostic biomarkers; immune response simulation; personalized immunotherapy; immunomodulatory drug discovery; virtual screening; treatment optimization; adverse effect prediction; disease progression modeling.";"Medical imaging; clinical trial outcomes; genomic sequencing; flow cytometry; electronic health records; AI-driven diagnostics; immunotherapy efficacy; biomarker discovery; vaccine targets";"AI ethics; data privacy; equitable access; algorithmic bias; data protection regulations; intellectual property; healthcare professionals; patient trust; diagnostic accuracy; vaccine development; personalized treatments; job displacement; privacy breaches";"AI-immunology; PubMed; Google Scholar; Coursera; edX; MIT OpenCourseWare; deep learning in healthcare; AI in medicine; biomedicine; bioinformatics";"Immunology education; AI integration; research collaboration; diagnostic applications; critical evaluation; immunological problem-solving; AI-driven studies; interdisciplinary research; AI tool application";"Immunology; AI-driven medical research; machine learning; bioinformatics; interdisciplinary teaching; AI accessibility; Python; R; TensorFlow; PyTorch; AI tools and platforms";"Software licenses; cloud computing; AI expertise; immunology; domain-specific data; synthetic datasets; software libraries; high-performance computing; institutional collaboration";"AI in immunology; machine learning; immunological data analysis; AI-driven diagnostics; ethical implications; AI-based solutions; immunology research; AI applications; critical evaluation.";"AI in immunology; literature reviews; AI coding assignments; immunological data analysis; AI solution design; project report; class presentation; AI concepts; immunology principles; midterm exam; final exam; class participation.";"AI in immunology; vaccine design; image analysis; genomic data; immune response modeling; AI-driven decision-making; immunological datasets; AI research proposals; AI tools; hands-on labs; group exercises";Yes;Yes
61;AI in IndustrialEngineeringProductionLogisticsProducts;ABC;28-02-2025;1.0.0;Industrial Engineering - Production, Logistics, and Products    ;"Engineering & Technology; Business & Economics";"Industrial Engineering; process optimization; system efficiency; production enhancement; logistics automation; data-driven decisions; predictive outcomes; resource allocation; smart manufacturing.";"AI-driven manufacturing; predictive maintenance; supply chain optimization; real-time monitoring; process automation; AI-based quality control";"Production efficiency; logistics tracking; quality control; sensor data; resource allocation; throughput optimization; route planning; delivery optimization; defect detection; predictive maintenance; real-time process control; time series forecasting; demand prediction; machine vision.";"Algorithmic bias; data privacy; job displacement; automation ethics; AI transparency; data protection regulations; workforce reskilling; technology dependence; cybersecurity risks; human oversight; production data security.";"AI in manufacturing; AI-powered supply chain; automation science; intelligent manufacturing; supply chain analytics; smart manufacturing; industry reports.";"Industrial AI application; manufacturing solutions; logistics optimization; AI implementation projects; industrial engineering integration; AI-driven solutions.";"Industrial Engineering; AI-powered logistics; AI-powered manufacturing; machine learning; data analytics; optimization techniques; AI education; AI mentoring; AI tools; AI software; AI research; AI publications";"Software licenses; datasets; computing resources; domain-specific data; industry partnerships; AI tools; Python; TensorFlow; cloud-based AI; interdisciplinary teaching; specialized AI hardware; GPUs; proprietary data; time constraints.";"AI fundamentals; machine learning applications; manufacturing AI; logistics AI; product development AI; industrial engineering problem-solving; AI-driven decision-making; ethical AI; legal AI; social AI; AI solution design; industrial engineering challenges";"AI-driven solutions; industrial engineering; case studies; problem-solving; group project; implementation; quizzes; midterm exam; final exam";"AI applications; manufacturing; industrial engineering; hands-on projects; data preprocessing; model training; performance evaluation; ethical implications; AI-driven decisions";Yes;Yes
62;AI in Industrial_Engineering_Logistics;ABC;28-02-2025;1.0.0;Industrial Engineering / Logistics    ;"Engineering & Technology; Business & Economics";"Industrial Engineering; logistics optimization; AI-driven efficiency; supply chain management; real-time insights; data-driven strategies; automation.";"Supply chain AI; warehouse robotics; predictive logistics; inventory optimization; route efficiency; AI-driven quality control";"Real-time tracking; inventory management; transportation logistics; warehouse operations; supplier performance; dynamic route optimization; predictive maintenance; demand forecasting; time series analysis; AI-driven predictions; inventory optimization";"Algorithmic bias; data privacy; GDPR compliance; autonomous system liability; job displacement; workforce retraining; cybersecurity; environmental impact; system failures.";"AI-logistics implementations; supply chain analytics; AI-supply chain management; AI-logistics applications; industry publications; logistics learning.";"Logistics students; supply chain management; AI application; industrial engineering principles; data-driven decisions; logistics operations; supply chain efficiency.";"Industrial engineering; AI logistics; machine learning; supply chain optimization; data analytics; teaching experience";"Software licenses; hardware funding; guest speakers; teaching assistants; lab technicians; semester duration; logistics datasets; AI tools; computing resources; departmental collaboration; interdisciplinary initiatives.";"AI in Logistics; supply chain optimization; data-driven logistics; AI solution design; ethical AI assessment; logistics streamlining";"AI applications; logistics solutions; data modeling; group project; midterm exam; final exam; presentations";"AI-driven logistics solutions; real-world case studies; hands-on AI projects; industry expert lectures; predictive modeling; ethical implications; AI tool demonstrations; brainstorming sessions; group collaboration.";Yes;Yes
63;AI in Industrial_Engineering_Mechanical_Engineering;ABC;28-02-2025;1.0.0;Industrial and Mechanical Engineering    ;Engineering & Technology;"Mechanical systems; industrial processes; AI integration; efficiency optimization; data-driven decision-making; automation enhancement; system performance.";"AI-assisted design; predictive maintenance; AI-driven automation; process optimization; quality control; supply chain optimization; machine learning; computer vision; industrial processes.";"Machine performance logs; CAD design files; sensor data; simulation data; maintenance records; predictive maintenance; anomaly detection; AI-assisted design; process monitoring; regression; generative models.";"Algorithmic bias; job displacement; data privacy; security risks; regulatory compliance; AI safety; liability; workforce reskilling; equitable access; efficiency gains; product quality; misuse potential.";"AI engineering resources; mechanical engineering applications; AI manufacturing research; predictive maintenance automation; machine learning courses.";"Mechanical systems; industrial processes; AI-driven solutions; engineering problem-solving; intelligent systems design; industrial process optimization; AI specialist collaboration; ethical implications; societal impact assessment";"Mechanical engineering; AI-driven automation; machine learning education; AI implementation; bridging theory-application; industrial solutions.";"MATLAB; Python; TensorFlow; PyTorch; CAD software; datasets; high-performance computing; budget constraints; data confidentiality; interdisciplinary collaboration";"AI fundamentals; machine learning; engineering applications; design optimization; predictive maintenance; process control; AI-driven solutions; software implementation; dataset utilization; ethical implications; legal considerations; social impact.";"AI problem-solving; industrial case studies; algorithm understanding; AI solution development; project implementation; solution effectiveness; ethical considerations; active engagement";"AI-assisted design; predictive maintenance; AI-driven robotics; mechanical engineering solutions; industrial engineering solutions; AI tools demonstration; design optimization; process control; Python implementation; real-world problem solving; interdisciplinary collaboration; AI applications exploration";Yes;Yes
64;AI in IntegratedDesignEngineering;ABC;28-02-2025;1.0.0;Integrated Design Engineering    ;"Engineering & Technology; Design & Creative Arts";"Integrated design engineering; holistic product development; interdisciplinary engineering; AI-driven automation; design optimization; data-driven insights; rapid iteration; enhanced performance; innovative solutions.";"AI-driven product design; generative design; AI-powered simulation; material selection; predictive maintenance; design optimization; performance optimization; manufacturability; sensor data analysis; failure prediction; AI algorithms.";"CAD models; engineering blueprints; material properties; simulation results; sensor streams; AI-driven design; geometric analysis; material selection; predictive modeling; performance monitoring";"AI ethics; design bias; intellectual property; liability; job displacement; workforce retraining; product innovation; AI safety; regulatory compliance";"AI-driven design; manufacturing; design optimization; simulation; product development; AI adoption; engineering; machine learning.";"Engineering design; AI-enhanced workflows; CAD software; design option generation; simulation tools; AI limitations; ethical implications; collaborative AI; product development.";"Design engineering; AI-driven optimization; machine learning; data analysis; AI programming; engineering design principles; technical communication; TensorFlow; PyTorch; student mentorship.";"AI-integrated CAD; high-performance computing; domain-specific datasets; interdisciplinary collaboration; budget limitations; data scarcity; curriculum integration.";"AI fundamentals; machine learning; integrated design; AI applications; design problem-solving; AI-driven data analysis; ethical implications; legal considerations; social impact; AI tools; design processes";"AI algorithms; design optimization; material selection; AI-powered product development; generative design; AI-powered simulation; design process; knowledge assessment; active engagement";"AI-driven design; generative design; design optimization; predictive maintenance; AI-CAD integration; AI-simulation tools; human-AI collaboration; AI-enhanced creativity; design problem-solving; AI application proposals.";Yes;Yes
